מפתח,חטיבה,חטיבה (כן/לא),רמה,WCOID,Occurence,האם שונה ביחס למסר המקור,XML Tag Name,"הצהרה
M/C/O/N",שם שדה/חטיבה,תיאור/ הערות,תיאור WCO,פורמט,Data Type,שם שדה בדור קיים,שם טבלה DATA BASE,מספר טבלה DATA BASE
1943,GoodsItem,לא,8,I49,0..1,כן,           |           |           |           |           |           |           |____ DeferedTaxAmount,N,סכום מס נדחה,סכום המס הנדחה (לסוג מס זה). סכום זה הופחת מערך המס שחושב.,סכום המס הנדחה (לסוג מס זה). סכום זה יש להפחית מערך המס שחושב.,"n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
1945,GoodsItem,לא,8,I51,0..1,כן,           |           |           |           |           |           |           |____ DefinedPerUnitMethod,N,קצוב,ערך  אבסולוטי ליחידה (ערך המוגדר בתעריף המכס עליו יחושב המס כאשר חישוב מתבסס כל כמות סחורה),ערך  אבסולוטי ליחידה (ערך המוגדר בתעריף המכס עליו יחושב המס כאשר חישוב מתבסס כל כמות סחורה),"n..17,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
1946,GoodsItem,לא,8,I52,0..1,כן,           |           |           |           |           |           |           |____ AlternateRate,N,שיעור אלטרנטיבי,אחוז אלטרנטיבי מערך הסחורה (שעור המס לחישוב המס המתבסס על מחיר מקובל),אחוז אלטרנטיבי מערך הסחורה (שעור המס לחישוב המס המתבסס על מחיר מקובל),"n..5,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
1947,GoodsItem,לא,8,I53,0..1,כן,           |           |           |           |           |           |           |____ AlternateDefinedPerUnitMeasure,N,קצוב אלטרנטיבי,"ערך  אלטרנטיבי  אבסולוטי ליחידה (ערך המוגדר בתעריף המכס עליו יחושב המס כאשר חישוב מתבסס על כמות נוספת)
יעשה רק כאשר יש צורך לחשב מס על פי נוסחה מורכבת","ערך  אלטרנטיבי  אבסולוטי ליחידה (ערך המוגדר בתעריף המכס עליו יחושב המס כאשר חישוב מתבסס על כמות נוספת)
יעשה רק כאשר יש צורך לחשב מס על פי נוסחה מורכבת","n..17,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
2021,GoodsItem,לא,8,I96,0..1,כן,           |           |           |           |           |           |           |____ DefinedPerUnitQuantity,N,כמות הסחורה לקצוב,כמות הסחורה ששימשה לצורך חישוב המס הקצוב,כמות הסחורה ששימשה לצורך חישוב המס הקצוב,"n..16,6
(Floating delimiter with maximum decimals as defined)",Quantity,,,
1948,GoodsItem,לא,8,I54,0..1,כן,           |           |           |           |           |           |           |____ MeasurementUnitCode,N,יחידת מידה,"מידת היחידה ק""ג, ליטר וכו","מידת היחידה ק""ג, ליטר וכו",an..3,Code ,,MeasurementUnit,1385
2022,GoodsItem,לא,8,I97,0..1,כן,           |           |           |           |           |           |           |____ AlternateDefinedPerUnitQuantity,N,כמות הסחורה לקצוב האלטרנטיבי,כמות הסחורה ששימשה לצורך חישוב המס הקצוב האלטרנטיבי,כמות הסחורה ששימשה לצורך חישוב המס הקצוב האלטרנטיבי,"n..16,6
(Floating delimiter with maximum decimals as defined)",Quantity,,,
1949,GoodsItem,לא,8,I55,0..1,כן,           |           |           |           |           |           |           |____ AlternateMeasurementUnit,N,יחידת מידה אלטרנטיבית,יחידת מידת אלטרנטיבית כמו BTU במזגנים,יחידת מידת אלטרנטיבית כמו BTU במזגנים,an..3,Code,,MeasurementUnit,1385
1993,GoodsItem,לא,8,I85,0..1,כן,           |           |           |           |           |           |           |____ TradeLevyNumber,N,זיהוי היטל סחר,מספר ההיטל כפי שהוא מוכר בספר המכס,מספר ההיטל כפי שהוא מוכר בספר המכס,n..10, Identifier,,,
1997,GoodsItem,לא,8,I87,0..1,כן,           |           |           |           |           |           |           |____ TotalBtlCoverageNIS ,N,גובה הלוואה מביטוח לאומי,"גובה ההלוואה מביטוח לאומי לה זכאי היבואן.
קוד המטבע תמיד יהיה שקלים בשדה זה.",גובה ההלואה מביטוח לאומי שחושבה ליבואן,"an..17
(Floating delimiter with maximum decimals as defined)", Identifier,,,
981,GoodsItem,כן,4,70A,0..9,לא,|           |           |           |____ GovernmentProcedure,O,תהליך ברמת הסחורה,תהליך ברמת סחורה,,,חטיבה,,,
982,GoodsItem,לא,5,166,0..1,לא,|           |           |           |           |____ CurrentCode,O,עיתוי שיבוץ ופתיחת בקרת מסמכים,קוד תהליך ברמת סחורה,Code specifying a procedure.,an..7,Code,,ItemGovernmentProcedureType,1422
1021,GoodsItem,כן,4,79A,0..999,לא,|           |           |           |____ InvoiceLine,C,קישור למספר שורה בחשבון,"חטיבה זו מכילה  נתון אינפורמטיבי (לא מבצעים עליו בדיקות תקינות) המציג את הקשר של שורת סחורה זו אל הצרופה של חשבון המכר.
דוגמא:
באותו חשבון מכר נרכשו טושים אדומים וטושים כחולים. כל מוצר נרשם כשורה נפרדת בחשבונית המכר שהופקה. כאשר מזינים את הצהרת היצוא/יבוא, אין סיבה לסווג הכל פעמים כי כל המאפיינים המכסיים זהים. ניתן במקרה כזה להזין שורת סחורה אחת ולקשר אותה לשורות 1,2 בצרופת החשבון.",,,חטיבה,,,
1023,GoodsItem,לא,5,006,0..1,לא,|           |           |           |           |____ SequenceNumeric,C,מספר שורה בחשבון,מספר השורה בצרופת חשבון המכר,Number indicating the position in a sequence.,n..5,Numeric,,,
1223,GoodsItem,כן,3,65A,1..999,לא,|           |           |____ GoodsMeasure,M,פרטי מידות הטובין,כמות טובין - מציין כמה סוגים של כמויות של הסחורה : כמות לתעריף/ כמות סטטיסטית. כל אלו ברמה של כל פרט המכס. ,,,חטיבה,,,
1226,GoodsItem,לא,4,130,1..1,לא,|           |           |           |____ TariffQuantity,M,ערך הכמות הנדונה ,"הערך המספרי של הכמות הנדונה. סוג הכמות (האם כמות לתעריף/כמות נוספת וכו') מופיע בשדה 1753. יחידת המידה של הכמות מובנית כחלק מהגדרת השדה מטיפוס measure. יחידת המידה יכוללה להיות משקל (למשל ק""ג) / נפח/ או כל אחד (לפי recomandataion 20 של ה-un/ece)","Quantity of the goods in the unit as required by Customs for tariff, statistical or fiscal purposes.","n..14,3
(Floating delimiter with maximum decimals as defined)",Quantity,,,
1865,GoodsItem,כן,4,01L,0..1,כן,|           |           |           |____ DMExtensions,M,הרחבות ישראליות,שדות שלא הופיעו במסר ה-WCO המקורי אך נחוצים למכס לתפעול המערכת,,,חטיבה,,,
1753,GoodsItem,לא,4,I17,1..1,כן,|           |           |           |           |____ MeasureQualifier,M,סוג כמות,"מאפיין של סוג הכמות. (מציין אם זה כמות לחישוב מס או כמות לקצוב/ יחידה סטטיסטית וכו'). לכל סחורה מוגדר בספר המכס באיזו יחידת מידה מודדים את הכמות (למשל כמות טובין של מזגן נמדדת ב-""כל אחד"" ואילו הכמות הנוספת ב-BTU)
דוגמאות לסוגי כמויות: כמות טובין, כמות יח' סטטיסטית,",#N/A,an..4,Code,,QuantityType,1440
1232,GoodsItem,כן,3,86A,0..1,לא,|           |           |____ Manufacturer,O,פרטי יצרן,פרטי הזיהוי של היצרן של המוצר מתוך מאגר היצרנים.,,,חטיבה,,,
1233,GoodsItem,לא,4,R043,0..1,לא,|           |           |           |____ ID,O,זיהוי יצרן,מזהה היצרן כפי שהוא מופיע במאגרי המכס,Identifier of party which manufactures goods.,an..17, Identifier,,,
1250,GoodsItem,כן,3,92A,1..1,לא,|           |           |____ Origin,C,מקור הסחורה,ארץ מקור הסחורה,,,חטיבה,,,
1251,GoodsItem,לא,4,063,1..1,לא,|           |           |           |____ CountryCode,C,קןד ארץ מקור / יצור,הארץ בה יוצרו או הופקו הטובין לפי כללי המקור של אמנת קיוטו.,"To identify the country in which the goods have been produced or manufactured, according to criteria laid down for the application of the Customs tariff or quantitative restrictions, or any measure related to trade.",a2,Code,,country,1136
1263,GoodsItem,כן,3,99A,0..999,לא,|           |           |____ PreviousDocument,C,קישור להצהרות נוספות ברמת סחורה,"חטיבה זו משמשת במקרים בהם רוצים להצביע על קשר בין סחורות בהצהרות שונות. בעיקר קשר בין הצהרות יבוא זמני והצהרת יצוא. דוגמא:
בהצהרת יבוא מסויימת הבאתי 15 כפתורים והצהרתי שזה יבוא זמני לצורך עיבוד. לאחר תקופה אני מייצא 3 חולצות שבכל אחת יש 5 כפתורים שיבאתי פעם. על מנת לקבל החזר מיסים על הכפתורים ששילמתי אני מציין בהצהרת היצוא את הקשר להצהרת היבוא. מאחר ואי אפשר להשוות 3 חולצות ל-15 כפתורים אני גם מציין את הכמות שניצלתי מתוך מה שייבאתי. ",,,חטיבה,,,
1264,GoodsItem,לא,4,D018,0..1,לא,|           |           |           |____ ID,C,מספר הצהרה,קישור אל ההצהרה אליה הסחורה הזו קשורה.,The number of a previous document.,an..35, Identifier,,,
1266,GoodsItem,לא,4,171,0..1,לא,|           |           |           |____ SequenceNumeric,C,מספר שורה,סידורי של הסחורה הקשורה בהצהרה הקודמת,Item number pertaining to the previous Customs filing.,n..4,Numeric,,,
1267,GoodsItem,לא,4,D019 ,0..1,לא,|           |           |           |____ TypeCode,C,סוג הצהרה קשורה,סוג ההצהרה הקשורה (הצהרת יבוא/הצהרת יצוא/הצהרת שטעון/קרנה/ מ.ב.161),#N/A,an..3, Code,,LeadDocumentType,1375
1867,GoodsItem,כן,4,01L,0..1,כן,|           |           |           |____ DMExtensions,C,הרחבות ישראליות,שדות שלא הופיעו במסר ה-WCO המקורי אך נחוצים למכס לתפעול המערכת,,,חטיבה,,,
2015,GoodsItem,לא,5,006,0..1,כן,|           |           |           |           |____ SequenceNumeric,C,מספר חשבון בהצהרה,"המספר הסידורי של חשבון המכר כפי שהוא הופיע בהצהרה אליה רוצים לקשר.
מאחר ומספר החשבון לא חובה להזנה (יש חשבונות ללא מספר), המפתח של החשבון יהיה מספרו הסידורי בהצהרה. (בדומה לסחורה)",,n..5,Numeric,,,
1843,GoodsItem,לא,5,I19,0..1,כן,|           |           |           |           |____ QuantityQuantity,C,כמות הסחורה לפי יחידת המידה של ההצהרה המקורית,כמות לפי סוג הכמות של הסחורה הקשורה. (למשל 15 כפתורים ברשימון היבוא  קשורים ל-3 חולצות ביצוא),#N/A,n..16,Quantity,,,
1345,GoodsItem,כן,3,39B,0..999,לא,|           |           |____ ValuationAdjustment,O,התאמות למחיר הסחורה,התאמות למחיר הסחורה,,,חטיבה,,,
1346,GoodsItem,לא,4,188,0..1,לא,|           |           |          |____ AdditionCode,O,סוג התאמות והפחתות,סוג תנועות כספיות נוספות בשורות חשבון המכר ,"A qualifier to identify the type of  WTO valuation agreement addition (Article 8): Price influence, Royalties, Assists, Proceeds, Commissions.",an..3,Code,,ModificationAndDiscountType,1416
1347,GoodsItem,לא,4,125,0..1,לא,|           |           |          |____ AmountAmount,O,ערך התאמות והפחתות,הערך הכספי של התנועה,Monetary amount by which the valuation was adjusted.,"n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
1350,GoodsShipment,כן,2,78A,1..1,לא,|           |____ Invoice,M,מאפייני חשבון מכר,חטיבה זו מכילה את הנתונים הכללים של חשבון המכר,,,חטיבה,,,
1351,GoodsShipment,לא,3,D016,0..1,לא,|           |           |____ ID,C,מספר חשבון,"המספר המצוין בחשבון 
א. ביבוא - חשבון ספק.
 ב. ביצוא - חשבון יצואן",Reference number to identify an invoice.,an..35,Identifier,MIS-HESHBON-MECHER,,
1352,GoodsShipment,לא,3,D015,1..1,לא,|           |           |____ IssueDateTime,C,תאריך הפקת חשבון,"א. התאריך המצוין בחשבון 
ב. ביבוא - חשבון ספק.
 ביצוא - חשבון יצואן
השדה חובה רק כאשר סוג החשבון הוא ""חשבון מכר"" או ""חשבון פרופורמה"" (בדיקה 1811).",Date of issue of an invoice.,"an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
",Date Time,,,
1354,GoodsShipment,לא,3,D025,1..1,לא,|           |           |____ TypeCode,M,סוג חשבון מכר,"ראשי, מישני, פרפורמה (הצעת מחיר), פטור מחשבון וכו'",Code specifying the type of an invoice.,an..3, Code,KOD-SUG-HESHBON,InvoiceType,1404
1868,GoodsShipment,כן,3,01L,0..1,כן,|           |           |____ DMExtensions,C,הרחבות ישראליות (חשבון),שדות שלא הופיעו במסר ה-WCO המקורי אך נחוצים למכס לתפעול המערכת,,,חטיבה,,,
1788,GoodsShipment,לא,4,I28,0..1,כן,|           |           |           |____IsPrefarenceDocumentInd,O,האם חשבון מהווה מסמך העדפה,שדה אינדיקציה כן/לא המציין האם חשבון המכר הזה משמש גם כחשבון העדפה.,#N/A,n1, Identifier,,,
1789,GoodsShipment,לא,4,I29,0..1,כן,|           |           |           |____PrefarenceDocumentType,C,סוג הסכם,סוג הסכם הסחר,#N/A,an..4,Code,,TradeAgreementTypeView,2009
1790,GoodsShipment,לא,4,I30,0..1,כן,|           |           |           |____PaymentType,O,אמצעי תשלום,"סוג אמצעי התשלום באמצעותו שילמו את החשבונית למשל: מזומן ,אשראי, כתב התחיבות ,",#N/A,an..4,Code,,InvoicePaymentMethod,1897
1791,GoodsShipment,לא,4,I31,0..1,כן,|           |           |           |____InvoiceAmount,C,"סה""כ סכום חשבון"," ערך כלל הסחורות בחשבון, לפני מתן הנחות על כלל החשבון.",#N/A,"n..16,2",Amount,,,
1793,GoodsShipment,לא,4,I33,0..1,כן,|           |           |           |____ActualPayedAmount,O,תשלום בפועל,"במקרים מסויימים התשלום שבוצע בפועל שונה מסכום החשבונית. זה יכול להיות מסיבות שונות, לדוגמא: ביצוא ישנה סחורה אשר חלקה ללא תמורה",#N/A,"n..16,2",Amount,,,
2023,GoodsShipment,לא,5,118,0..1,כן,|           |           |           |____ RateNumeric,N,שער מטבע,שער המטבע לפי תאריך חישוב המיסים,The rate at which one specified currency is expressed in another specified currency.,"an..12,3",Numeric,,,
1489,GoodsShipment,כן,2,18B,0..1,לא,|           |____ Supplier,C,פרטי ספק,"פרטי ספק.
כל הספקים צריכים להיות קיימים במערכת המכס טרם שליחת הטיוטא. נתוני הספק שמורים במנהל לקוחות. בהצהרה מציינים רק את זיהוי הספק.",,,חטיבה,,,
1490,GoodsShipment,לא,3,R053,0..1,לא,|           |           |____ ID,C,"מספר ספק/מספר לקוח חו""ל","מזהה הספק כפי שהוא קיים במערכת המכס

",The identifier of the party who supplies goods and/or services.,an..17, Identifier,MIS-SAPAK,,
1511,GoodsShipment,כן,2,22B,1..1,לא,|           |____ TradeTerms,M,פרטי תנאי מכר,תנאי המכר של העסקה כמו CIF/FOB. (Incoterms),,,חטיבה,,,
1512,GoodsShipment,לא,3,090,1..1,לא,|           |           |____ ConditionCode,M,תנאי מכר,תנאי המכר של העסקה כמו CIF/FOB,Code specifying the delivery or transport terms.,a3,Code,,TermsOfSaleType,1426
1515,GoodsShipment,לא,3,L002,0..1,לא,|           |           |____ LocationID,C,ארץ הנפקת החשבון,"שדה זה מתאר המדינה בה הופק החשבון. הוא מחליף את המושג ארץ ספק שהיה קיים בעבר.
א. מטבלת ארצות
ב. ביבוא - ארץ הפקת חשבון - שדה לא חובה בכל המקרים. למשל ביבוא האישי לא חובה להזין אותו כאשר יש תחליף חשבון (טופס 130). רק כאשר החשבון הוא מסוג 'חשבון מכר' או 'פרופורמה' אז שדה זה הוא חובה (בדיקה 1090 במערכת הבדיקות)
 ביצוא - ארץ יצוא - לא חובה

"," Identifier of the point or port of departure, shipment or destination, as required under the applicable delivery term.",an..17, Identifier,,,
1517,GoodsShipment,כן,2,35B,0..999,לא,|           |____ UCR,O,פרטי זיהוי מטען UCR,חטיבה זו מיועדת לשימוש עתידי,,,חטיבה,,,
1518,GoodsShipment,לא,3,016,0..1,לא,|           |           |____ ID,O,זיהוי מטען לפי ספק,"זיהוי המטען כפי שנקבע ע""י הספק בטרם המשלוח הראשוני של המטען. זיהוי זה ילווה את המטען לאורך כל חייו בהתאם לתקן UCR",Unique number assigned to goods being subject to cross border transactions.,an..35,Identifier,,,
1519,GoodsShipment,לא,3,009,0..1,לא,|           |           |____ TraderAssignedReferenceID,O,זיהוי מטען לפי סוכן מכס,"זיהוי המטען כפי שנקבע ע""י סוכן המכס.",Reference assigned by a trader to a declaration.,an..35,Identifier,,,
1543,declaration,כן,1,70A,1..1,לא,|____ GovernmentProcedure,M,תהליך ברמת הצהרה,סוג התהליך ברמת הצהרה,,,חטיבה,,,
1544,declaration,לא,2,166,1..1,לא,|           |____ CurrentCode,M,קוד תהליך להצהרה,"סוג התהליך המבוקש עבור הצהרת היבוא. קודי התהלכים נקבעו לפי העקרונות של אמנת קיוטו. לכל הצהרה יכול להיות רק תהליך אחד, שרלוונטי עבור כל הסחורות בה. בנוסף קיים שדה של תהליך ברמת הסחורה שבא לציין מקרים בהם לסחורה ספציפית מבקשים תהליך ייחודי. כמובן שמתבצעת בדיקה שמוודאת קשר בין תהליכים ברמת ההצהרה לבין תהליכים ברמת הסחורה.",Code specifying a procedure.,an..7,Code,KOD-OTONOMIA ,governmentProcedureType,1354
1547,declaration,כן,1,74A,1..999,לא,|____ Importer,M,פרטי יבואן,"בחטיבה זו יופיעו הפרטים של היבואנים הקשורים להצהרה זו. כל מופע של החטיבה מכיל את מספר זיהוי היבואן וכן את תפקידו בהצהרה זו. תפקידים אפשריים הם למשל: יבואן (חובה אחד בכל הצהרה)/ יבואן מעביר.
כל יבואן צריך להיות קיים במערכת טרם שידור ההצהרה. במידה והיבואן הוא יבואן  זר שעדיין לא הוקם במערכת המכס הוא יזוהה באמצעות מספר הדרכון שלו (ראה פירוט בתיאור של שדה 1548)
זיהוי יבואן יתבצע ע""י מספר זיהוי יבואן בלבד  או שילוב של שלושת השדות הבאים: מדינת דרכון, סוג מסמך מסע, מספר תעודת מסע (יוזן בשדה הזיהוי [מספר יבואן] אך עם attribute  לשדה שמכיל האם זה ת""ז/דרכון/תעודת מעבר),
לדוגמא: 
1.זיהוי יבואן מסחרי יתבצע ע""י שדה זיהוי (מספר ח.פ.)
2. זיהוי יבואן פרטי יתבצע ע""י   שדות : מספר מסמך מסע בשדה זיהוי,  attribute   לשדה זיהוי של סוג תעודת מסע,  מדינת דרכון
",,,חטיבה,,,
1548,declaration,לא,2,R038,0..1,לא,|           |____ ID,C,זיהוי יבואן,"מספר יבואן - ""מספר זיהוי של הישות המשפטית המבצעת פעולה של יבוא/יצוא כאמור בפקודת המכס. מספר זה יכול להיות מספר תעודת זהות כפי שמופיע במרשם התושבים, או מספר חברה/שותפות רשומה/עמותה/מלכ""ר וכדומה, כפי שמופיע ברשם המתאים"".

מספר היבואן יכול להיות גם מספר דרכון או תעודת מסע במקרה של תייר. הדרך לזהות את הסוג של מספר הזיהוי היא באמצעות ה-Attribute בשם ""Identification Scheme. Identifier"" של השדה מטיפוס Identifier. ב-Attribute זה יהיה הקוד עם אחד מהערכים הבאים: ת""ז (או ח.פ.)/ דרכון/ תעודת מסע. כאשר טיפוס סוג הזיהוי הוא דרכון או תעודת מעבר יש חובה להזין גם ארץ הנפקת דרכון. 
",Identifier of party who makes - or on whose behalf a Customs clearing agent or other authorised person makes - an import declaration. This may include a person who has possession of the goods or to whom the goods are consigned.,an..17, Identifier,"MIS-YEVUAN
MIS-YEVUAN-MAAVIR
MIS-YEVUAN-101
MIS-DARKON-101",רשימת ערכים עבור ה- Attribute נמצאת בטבלה CustomerIdentifyType.,1570
1987,Declaration,כן,2,01L,1..1,כן,|           |____ DMExtensions,M,הרחבות ישראליות  (רמת יבואן),שדות שלא הופיעו במסר ה-WCO המקורי אך נחוצים למכס לתפעול המערכת,#N/A,,חטיבה,,,
1735,declaration,לא,3,R005,1..1,כן,|           |           |____ RoleCode,M,סוג היבואן,"תפקיד יבואן בהצהרה.
יכולים להיות מספר סוגי יבואנים בהצהרה ושדה זה בא לציין למה משמש כל אחד מהם.
למשל: 
יבואן  (חובה אחד בכל הצהרה)
יבואן מעביר (במקרים של העברת בעלות)",Code giving specific meaning to a party.,an..3, Code,,ImporterRoleType,1935
1736,declaration,לא,3,I07,0..1,כן,|           |           |____ EntitlementTypeCode,O,קוד סוג זכאות,"שדה זה משמש במקרים בהם  ניתן לבקש הנחה ממיסים על סמך מעמד זכאות שיש ליבואן. על מנת לנצל את הזכאות היבואן חייב להירשם במערכת המכס טרם הגשת ההצהרה. כל הטיפול בזכאים מטופל במנהל זכאויות (תחת מנהל לקוחות). מעמד הזכאות המבוקש מוזן פעם אחת בהצהרה ועבור כל סחורה שמעוניינים לנצל את הזכאות מציינים זאת בשדה קוד תהליך ברמת הסחורה (ראה פירוט בהמשך).
דוגמאות לזכאויות:
עולה חדש
קטין חוזר
סטודנט חוזר
תייר 
תושב קבע
ישראלי מבקר
דיפלומט
שגרירות
ארגונים בינלאומיים",#N/A,an..4, Identifier,MAAMAD-YEVUAN-101,EntitlementType,1930
1692,declaration,לא,3,D027,0..1,לא,|           |           |____ IssueLocation,O,מדינת דרכון,מספר היבואן יכול להיות גם מספר דרכון במקרה של תייר. במקרה כזה ארץ הדרכון נמצאת בשדה זה.,The country or political entity issuing the travel document.,an..256,Text,EREZ-DARKON-101,,
2019,declaration,לא,3,I94,0..1,לא,|           |           |____ Name,C,שם היבואן,"קיימים מקרים בהם אין את מזהה היבואן ואז ניתן לשלוח את רק שם היבואן וכתובתו (לדוג' בהצהרות מסויימות של בלדרים)
משמש גם למסירת פרטי גופה ביבוא אישי",,an..35,Text,,,
2020,declaration,לא,3,I95,0..1,לא,|           |           |____ Address,C,כתובת היבואן,"קיימים מקרים בהם אין את מזהה היבואן ואז ניתן לשלוח את רק שם היבואן וכתובתו (לדוג' בהצהרות מסויימות של בלדרים)
משמש גם למסירת פרטי גופה ביבוא אישי",,an..256,Text,,,
